Kilometres,Body,Seats,Fuel type,Transmission,Model detail,location,item_url,is_import,enginesize,price,district,city
63931.0,"White, 5 door, RV/SUV",5.0,Petrol,Automatic,GSX 2.0P 4WD,"Christchurch City, Canterbury, NZ",https://www.trademe.co.nz/motors/used-cars/mazda/auction-2050810293.htm?rsqid=b494b0f6d5724c3b8eef82dc8c66e2da-001,,1998.0,23950.0, Canterbury,Christchurch City
40166.0,"Blue, Hatchback",5.0,Petrol,Automatic,13 SKYACTIV,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mazda/auction-2047849363.htm?rsqid=55f53edf8b114ff79592b81e8b68cb4f-001,,1290.0,8350.0, Auckland,North Shore
56246.0,"Blue, Sedan",5.0,Petrol,,2.0T,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/audi/auction-2161016314.htm?rsqid=70b510698b6240699ae0ee571b0605c8-001,"1 owner, Imported",1984.0,21500.0, Auckland,Manukau
88900.0,"Grey, 5 door, RV/SUV",7.0,Petrol,Automatic,"G *4WD/2WD, 7 Seater, Low Kms*","Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2159658846.htm?rsqid=1626df020fb341bd892fe2e4ee09ec9c-001,,2400.0,8950.0, Auckland,Manukau
107200.0,"Brown, 5 door, Hatchback",5.0,Petrol,Automatic,Inc On Road Cost,"Gore, Southland, NZ",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2048812813.htm?rsqid=3b86f2fab0f34ca4a4fba9a8cafccb3c-001,,1500.0,4950.0, Southland,Gore
999.0,"Carpathian Grey, RV/SUV",5.0,Petrol,Automatic,Si4 (177kW) SE &quot;Dynamic Edition&quot;,"""Napier, Hawkes Bay, NZ""",https://www.trademe.co.nz/motors/used-cars/land-rover/auction-2053755424.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,,2000.0,79990.0, Hawkes Bay,"""Napier"
3621.0,"Blue, 5 door, RV/SUV",,,Automatic,ST,"Rotorua, Bay of Plenty, NZ",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2153311419.htm?rsqid=ddf2ec705c414acea9b50af25c5865fa-001,,3500.0,41995.0, Bay of Plenty,Rotorua
56581.0,"White, 5 door, Van",3.0,Diesel,Manual,Swb,"Dunedin, Otago, NZ",https://www.trademe.co.nz/motors/used-cars/ldv/auction-2061011394.htm?rsqid=c8fcaf3c472c48539f51827965642933-001,"1 owner, NZ New",2499.0,27000.0, Otago,Dunedin
123980.0,"Gold, 5 door, Sedan",5.0,Diesel,Automatic,Tdi 103,"Christchurch City, Canterbury, NZ",https://www.trademe.co.nz/motors/used-cars/skoda/auction-2157382160.htm?rsqid=4de5e0d21dfe4fbb91b579825d5ebebc-001,"1 owner, NZ New",,12888.0, Canterbury,Christchurch City
76000.0,"Blue, 4 door, Sedan",5.0,Petrol,Automatic,"Latio 15M *Fresh Import, Low Kms*","Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2048839763.htm?rsqid=3b86f2fab0f34ca4a4fba9a8cafccb3c-001,,1500.0,5995.0, Auckland,Manukau
